Full Name,Pos,cluster
Kyle Kuzma,PF,Slasher Shot Creator
Zach LaVine,SG,Two Way Threat
Jeremy Lamb,SG,Slasher Shot Creator
Jake Layman,SF,Lockdown
Caris LeVert,SF,Combo Guard
Courtney Lee,SG,Lockdown
Alex Len,C,Skilled Big
Kawhi Leonard,SF,Lockdown
Damian Lillard,PG,Combo Guard
Jeremy Lin,PG,Combo Guard
Shaun Livingston,PG,Combo Guard
Brook Lopez,C,Skilled Big
Robin Lopez,C,Rim Protector
Kevin Love,PF,Skilled Big
Kyle Lowry,PG,Combo Guard
Trey Lyles,PF,Scoring Forward
Thon Maker,C-PF,Scoring Forward
Lauri Markkanen,PF,Scoring Forward
Jarell Martin,PF,Scoring Forward
Wesley Matthews,SF-SG,Two Way Threat
Luc Mbah a Moute,PF,Slasher Shot Creator
CJ McCollum,SG,Two Way Threat
T.J. McConnell,PG,Floor General
JaVale McGee,C,Rim Protector
Rodney McGruder,SG,Lockdown
Ben McLemore,SG,Lockdown
Jodie Meeks,SG,Lockdown
De'Anthony Melton,PG,Combo Guard
Khris Middleton,SF,Two Way Threat
C.J. Miles,SF,Lockdown
Paul Millsap,PF,Scoring Forward
Donovan Mitchell,SG,Two Way Threat
Greg Monroe,C,Rim Protector
E'Twaun Moore,SG,Two Way Threat
Marcus Morris,PF,Slasher Shot Creator
Markieff Morris,PF,Scoring Forward
Emmanuel Mudiay,PG,Combo Guard
Jamal Murray,PG,Two Way Threat
Raul Neto,PG,Combo Guard
Joakim Noah,C,Rim Protector
Nerlens Noel,C,Skilled Big
Dirk Nowitzki,PF,Scoring Forward
Frank Ntilikina,PG,Combo Guard
David Nwaba,SG,Slasher Shot Creator
Royce O'Neale,SF,Slasher Shot Creator
Jahlil Okafor,C,Skilled Big
Josh Okogie,SG,Lockdown
Victor Oladipo,SG,Two Way Threat
Kelly Olynyk,PF,Scoring Forward
Cedi Osman,SF,Lockdown
Zaza Pachulia,C,Skilled Big
Jabari Parker,PF,Slasher Shot Creator
Tony Parker,PG,Combo Guard
Chandler Parsons,SF,Two Way Threat
Patrick Patterson,PF,Scoring Forward
Chris Paul,PG,Floor General
Elfrid Payton,PG,Floor General
Mason Plumlee,C,Skilled Big
Miles Plumlee,C,Skilled Big
Otto Porter,SF,Slasher Shot Creator
Bobby Portis,PF,Skilled Big
Norman Powell,SG,Two Way Threat
Julius Randle,PF,Scoring Forward
J.J. Redick,SG,Lockdown
Josh Richardson,SG,Two Way Threat
Austin Rivers,SG,Two Way Threat
Mitchell Robinson,C,Rim Protector
Rajon Rondo,PG,Floor General
Derrick Rose,PG,Combo Guard
Terrence Ross,SG,Lockdown
Ricky Rubio,PG,Floor General
D'Angelo Russell,PG,Combo Guard
Domantas Sabonis,C,Skilled Big
JaKarr Sampson,SF,Scoring Forward
Thabo Sefolosha,SF,Lockdown
Collin Sexton,PG,Combo Guard
Landry Shamet,SG,Lockdown
Iman Shumpert,SG,Two Way Threat
Pascal Siakam,PF,Scoring Forward
Ben Simmons,PG,Floor General
Jonathon Simmons,SG-SF,Two Way Threat
Marcus Smart,SG,Combo Guard
Ish Smith,PG,Floor General
J.R. Smith,SG,Two Way Threat
Tony Snell,SF,Lockdown
Omari Spellman,PF,Scoring Forward
Lance Stephenson,SG,Combo Guard
Jayson Tatum,SF,Slasher Shot Creator
Jeff Teague,PG,Floor General
Garrett Temple,SG,Two Way Threat
Isaiah Thomas,SG,Combo Guard
Lance Thomas,PF,Slasher Shot Creator
Klay Thompson,SG,Lockdown
Tristan Thompson,C,Rim Protector
Karl-Anthony Towns,C,Rim Protector
P.J. Tucker,PF,Slasher Shot Creator
Evan Turner,PG,Two Way Threat
Myles Turner,C,Skilled Big
Noah Vonleh,PF,Skilled Big
Dwyane Wade,SG,Combo Guard
Dion Waiters,SG,Two Way Threat
Kemba Walker,PG,Combo Guard
John Wall,PG,Floor General
T.J. Warren,SF,Slasher Shot Creator
Russell Westbrook,PG,Floor General
Derrick White,PG,Two Way Threat
Hassan Whiteside,C,Rim Protector
Andrew Wiggins,SF,Lockdown
Kenrich Williams,SF,Slasher Shot Creator
Marvin Williams,PF,Scoring Forward
Justise Winslow,SF,Slasher Shot Creator
Nick Young,SG,Lockdown
Thaddeus Young,PF,Slasher Shot Creator
Trae Young,PG,Floor General
Cody Zeller,C,Skilled Big
Tyler Zeller,C,Skilled Big
Ivica Zubac,C,Rim Protector
Arron Afflalo,SG,Lockdown
Tony Allen,SF,Lockdown
Darrell Arthur,PF,Scoring Forward
Luke Babbitt,SF,Slasher Shot Creator
Tarik Black,C,Rim Protector
Trevor Booker,PF,Skilled Big
Aaron Brooks,PG,Combo Guard
Markel Brown,SG,Two Way Threat
Mario Chalmers,PG,Combo Guard
Nick Collison,PF,Skilled Big
Jordan Crawford,SG,Combo Guard
Jarrett Jack,PG,Combo Guard
Mike James,PG,Combo Guard
Al Jefferson,C,Skilled Big
Richard Jefferson,SF,Slasher Shot Creator
Brandon Jennings,PG,Floor General
Joe Johnson,SF,Two Way Threat
Shane Larkin,PG,Combo Guard
Josh McRoberts,PF,Scoring Forward
Timofey Mozgov,C,Skilled Big
Dejounte Murray,PG,Two Way Threat
Jameer Nelson,PG,Floor General
Emeka Okafor,C,Rim Protector
Kendrick Perkins,C,Rim Protector
Zach Randolph,PF,Skilled Big
Andre Roberson,SG,Slasher Shot Creator
Ramon Sessions,PG,Combo Guard
Kobi Simmons,PG,Combo Guard
Kyle Singler,SF,Lockdown
Josh Smith,PF,Scoring Forward
Jason Terry,SG,Two Way Threat
Tyler Ulis,PG,Floor General
Denzel Valentine,SG,Two Way Threat
David West,C,Skilled Big
Isaiah Whitehead,PG,Combo Guard
Damien Wilkins,SF,Two Way Threat
Derrick Williams,PF,Slasher Shot Creator
Jamil Wilson,SF,Lockdown
Paul Zipser,SF,Slasher Shot Creator
Alexis Ajinca,C,Skilled Big
Lavoy Allen,PF,Rim Protector
Omer Asik,C,Skilled Big
Matt Barnes,SF,Scoring Forward
Brandon Bass,PF,Skilled Big
Bojan Bogdanovic,SF,Lockdown
Norris Cole,PG,Combo Guard
Boris Diaw,PF,Scoring Forward
Goran Dragic,PG,Combo Guard
Mike Dunleavy,SF,Slasher Shot Creator
Monta Ellis,SG,Combo Guard
Randy Foye,SG,Combo Guard
Alonzo Gee,SF,Slasher Shot Creator
Spencer Hawes,PF,Skilled Big
Gerald Henderson,SG,Slasher Shot Creator
Willy Hernangomez,C,Rim Protector
Roy Hibbert,C,Rim Protector
Jordan Hill,C,Rim Protector
Kris Humphries,PF,Skilled Big
Ersan Ilyasova,PF,Scoring Forward
Nikola Jokic,C,Rim Protector
Dahntay Jones,SF,Lockdown
Ryan Kelly,PF,Slasher Shot Creator
Skal Labissiere,PF,Skilled Big
Ty Lawson,PG,Floor General
David Lee,PF,Skilled Big
Timothe Luwawu-Cabarrot,SF,Lockdown
Mike Miller,SF,Slasher Shot Creator
Nikola Mirotic,PF,Scoring Forward
Anthony Morrow,SG,Lockdown
Jusuf Nurkic,C,Rim Protector
Paul Pierce,SF,Slasher Shot Creator
Kristaps Porzingis,PF,Scoring Forward
Sergio Rodriguez,PG,Floor General
Brandon Rush,SG,Slasher Shot Creator
Larry Sanders,C,Rim Protector
Dario Saric,PF,Scoring Forward
Dennis Schroder,PG,Floor General
Luis Scola,PF,Skilled Big
Tiago Splitter,C,Skilled Big
Rodney Stuckey,PG,Combo Guard
Jared Sullinger,PF,Skilled Big
Hollis Thompson,SG,Lockdown
Marcus Thornton,SG,Lockdown
Beno Udrih,PG,Combo Guard
Jonas Valanciunas,C,Rim Protector
Nikola Vucevic,C,Rim Protector
C.J. Watson,PG,Combo Guard
Deron Williams,PG,Floor General
Metta World Peace,SF,Two Way Threat
James Anderson,SG,Slasher Shot Creator
Andrea Bargnani,C,Scoring Forward
DeJuan Blair,C,Skilled Big
Steve Blake,PG,Combo Guard
Chris Bosh,PF,Scoring Forward
Elton Brand,C,Skilled Big
Kobe Bryant,SF,Two Way Threat
Caron Butler,SF,Slasher Shot Creator
Rasual Butler,SF,Lockdown
Bryce Dejean-Jones,SG,Two Way Threat
Tim Duncan,C,Rim Protector
Festus Ezeli,C,Rim Protector
Kevin Garnett,PF,Skilled Big
Drew Gooden,PF,Skilled Big
P.J. Hairston,SF,Lockdown
Chuck Hayes,C,Skilled Big
J.J. Hickson,C,Skilled Big
Kirk Hinrich,PG,Combo Guard
Chris Kaman,C,Rim Protector
Carl Landry,PF,Skilled Big
Kendall Marshall,PG,Floor General
Kevin Martin,SG,Lockdown
O.J. Mayo,SG,Two Way Threat
Ray McCallum,PG,Combo Guard
Andre Miller,PG,Floor General
Nazr Mohammed,C,Rim Protector
Tayshaun Prince,SF,Slasher Shot Creator
