,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
4,Will Bynum,2011,DET,0.381,10.1,0.851,0.438,0.144,0.072,0.196,0.149,0.406,0.529,0.286,0.286,0.263,0.241,0.194,0.015,1.0,0.857,0.31,0.222,3.0,0.0
5,Will Bynum,2012,DET,0.469,9.9,0.859,0.389,0.189,0.074,0.207,0.141,0.494,0.6,0.402,0.325,0.438,0.316,0.188,0.006,2.0,0.75,0.237,0.222,1.0,0.0
6,Will Bynum,2013,DET,0.428,10.6,0.856,0.337,0.23,0.06,0.226,0.144,0.446,0.614,0.313,0.308,0.371,0.323,0.146,0.0,0.0,0.5,0.048,0.0,1.0,0.0
7,Will Bynum,2014,WAS,0.323,15.3,0.71,0.161,0.161,0.097,0.29,0.29,0.455,0.4,1.0,0.0,0.333,0.0,0.1,0.0,0.0,,0.0,,0.0,0.0
0,Zarko Cabarkapa,2003,PHO,0.411,10.6,0.838,0.35,0.173,0.142,0.173,0.162,0.455,0.623,0.382,0.25,0.353,0.188,0.693,0.091,16.0,0.833,0.281,0.111,1.0,0.0
1,Zarko Cabarkapa,2004,TOT,0.486,11.4,0.797,0.282,0.243,0.056,0.215,0.203,0.518,0.68,0.395,0.5,0.447,0.361,0.616,0.051,9.0,1.0,0.361,0.308,1.0,0.0
2,Zarko Cabarkapa,2004,PHO,0.571,3.3,1.0,0.714,0.286,0.0,0.0,0.0,0.571,0.8,0.0,,,,0.25,0.143,1.0,,,,0.0,0.0
3,Zarko Cabarkapa,2004,GSW,0.482,11.7,0.788,0.265,0.241,0.059,0.224,0.212,0.515,0.667,0.415,0.5,0.447,0.361,0.638,0.047,8.0,1.0,0.361,0.308,1.0,0.0
4,Zarko Cabarkapa,2005,GSW,0.385,10.0,0.885,0.356,0.19,0.103,0.236,0.115,0.403,0.548,0.394,0.222,0.268,0.25,0.613,0.075,13.0,1.0,0.2,0.25,0.0,0.0
0,Bruno Caboclo,2014,TOR,0.333,10.7,0.75,0.25,0.417,0.0,0.083,0.25,0.222,0.667,0.0,,0.0,0.667,1.0,0.083,1.0,1.0,0.333,1.0,0.0,0.0
1,Bruno Caboclo,2015,TOR,0.083,18.9,0.417,0.0,0.167,0.083,0.167,0.583,0.0,,0.0,0.0,0.0,0.143,,0.0,0.0,1.0,0.714,0.2,0.0,0.0
2,Bruno Caboclo,2016,TOR,0.375,13.6,0.625,0.313,0.125,0.0,0.188,0.375,0.4,0.4,0.0,,0.667,0.333,0.5,0.063,1.0,1.0,0.5,0.0,0.0,0.0
3,Bruno Caboclo,2017,TOT,0.29,16.6,0.452,0.161,0.097,0.161,0.032,0.548,0.429,0.6,0.0,0.6,0.0,0.176,0.333,0.032,1.0,1.0,0.353,0.333,0.0,0.0
4,Bruno Caboclo,2017,TOR,0.0,23.5,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,0.0,0.0,,0.5,0.0,0.0,0.0
5,Bruno Caboclo,2017,SAC,0.31,16.1,0.483,0.172,0.103,0.172,0.034,0.517,0.429,0.6,0.0,0.6,0.0,0.2,0.333,0.034,1.0,1.0,0.333,0.4,0.0,0.0
6,Bruno Caboclo,2018,MEM,0.427,15.8,0.422,0.276,0.12,0.013,0.013,0.578,0.505,0.597,0.296,0.0,1.0,0.369,0.667,0.053,10.0,0.979,0.4,0.327,1.0,0.0
0,Jason Caffey,2000,MIL,0.488,4.6,1.0,0.54,0.232,0.207,0.022,0.0,0.488,0.571,0.365,0.434,0.25,,0.665,0.084,27.0,,,,0.0,0.0
1,Jason Caffey,2001,MIL,0.5,6.4,0.986,0.417,0.236,0.292,0.042,0.014,0.507,0.567,0.353,0.619,0.0,0.0,0.556,0.083,6.0,,0.0,,0.0,0.0
2,Jason Caffey,2002,MIL,0.456,5.5,1.0,0.484,0.258,0.169,0.089,0.0,0.456,0.592,0.375,0.31,0.227,,0.611,0.125,30.0,,,,0.0,0.0
0,Nick Calathes,2013,MEM,0.457,10.7,0.804,0.338,0.219,0.135,0.113,0.196,0.492,0.657,0.397,0.333,0.371,0.311,0.374,0.0,0.0,0.842,0.23,0.5,0.0,0.0
1,Nick Calathes,2014,MEM,0.421,9.6,0.826,0.352,0.271,0.109,0.089,0.174,0.456,0.632,0.388,0.296,0.182,0.256,0.452,0.0,0.0,0.727,0.186,0.125,0.0,0.0
0,Jose Calderon,2005,TOR,0.423,11.6,0.862,0.401,0.054,0.087,0.321,0.138,0.465,0.536,0.353,0.185,0.47,0.163,0.256,0.003,1.0,0.714,0.233,0.2,2.0,0.0
1,Jose Calderon,2006,TOR,0.521,12.0,0.851,0.402,0.03,0.053,0.366,0.149,0.553,0.635,0.667,0.407,0.476,0.333,0.176,0.0,0.0,0.56,0.173,0.462,1.0,0.0
2,Jose Calderon,2007,TOR,0.519,16.0,0.74,0.238,0.011,0.057,0.434,0.26,0.551,0.667,0.5,0.375,0.511,0.429,0.128,0.0,0.0,0.911,0.147,0.407,1.0,1.0
3,Jose Calderon,2008,TOR,0.497,17.0,0.686,0.194,0.009,0.054,0.429,0.314,0.538,0.752,0.167,0.457,0.46,0.406,0.185,0.003,2.0,0.878,0.129,0.423,2.0,0.0
4,Jose Calderon,2009,TOR,0.482,15.7,0.699,0.257,0.025,0.069,0.349,0.301,0.519,0.658,0.357,0.513,0.429,0.398,0.141,0.0,0.0,0.926,0.222,0.526,0.0,0.0
5,Jose Calderon,2010,TOR,0.44,16.1,0.738,0.206,0.039,0.091,0.403,0.262,0.466,0.61,0.348,0.426,0.413,0.365,0.185,0.0,0.0,0.772,0.128,0.3,0.0,0.0
6,Jose Calderon,2011,TOR,0.457,18.5,0.667,0.107,0.034,0.086,0.44,0.333,0.5,0.725,0.438,0.439,0.462,0.371,0.239,0.0,0.0,0.797,0.038,0.167,0.0,0.0
7,Jose Calderon,2012,TOT,0.491,19.4,0.556,0.11,0.019,0.079,0.348,0.444,0.516,0.714,0.083,0.5,0.48,0.461,0.346,0.0,0.0,0.885,0.142,0.4,1.0,0.0
8,Jose Calderon,2012,TOR,0.47,20.1,0.538,0.07,0.025,0.083,0.359,0.462,0.505,0.607,0.1,0.545,0.503,0.429,0.352,0.0,0.0,0.861,0.125,0.261,1.0,0.0
9,Jose Calderon,2012,DET,0.527,18.2,0.586,0.177,0.008,0.072,0.329,0.414,0.532,0.786,0.0,0.412,0.436,0.52,0.338,0.0,0.0,0.922,0.173,0.588,0.0,0.0
10,Jose Calderon,2013,DAL,0.456,20.3,0.432,0.092,0.025,0.051,0.263,0.568,0.464,0.652,0.263,0.421,0.426,0.449,0.3,0.0,0.0,0.848,0.172,0.507,2.0,0.0
11,Jose Calderon,2014,NYK,0.415,18.9,0.599,0.102,0.025,0.102,0.37,0.401,0.415,0.611,0.333,0.333,0.389,0.415,0.545,0.0,0.0,0.864,0.197,0.5,0.0,0.0
12,Jose Calderon,2015,NYK,0.459,18.4,0.554,0.099,0.029,0.114,0.312,0.446,0.496,0.644,0.538,0.404,0.479,0.414,0.304,0.0,0.0,0.869,0.133,0.481,0.0,0.0
13,Jose Calderon,2016,TOT,0.41,18.5,0.522,0.142,0.022,0.09,0.269,0.478,0.5,0.737,0.0,0.333,0.472,0.313,0.486,0.0,0.0,0.9,0.219,0.143,0.0,0.0
14,Jose Calderon,2016,LAL,0.416,18.6,0.558,0.104,0.039,0.143,0.273,0.442,0.465,0.75,0.0,0.364,0.476,0.353,0.4,0.0,0.0,0.917,0.206,0.286,0.0,0.0
15,Jose Calderon,2016,ATL,0.404,18.4,0.474,0.193,0.0,0.018,0.263,0.526,0.556,0.727,,0.0,0.467,0.267,0.6,0.0,0.0,0.875,0.233,0.0,0.0,0.0
16,Jose Calderon,2017,CLE,0.503,17.8,0.476,0.178,0.043,0.076,0.178,0.524,0.545,0.667,0.625,0.5,0.424,0.464,0.229,0.0,0.0,0.822,0.155,0.6,0.0,0.0
17,Jose Calderon,2018,DET,0.375,19.1,0.525,0.1,0.058,0.108,0.258,0.475,0.492,0.583,0.286,0.308,0.581,0.246,0.258,0.0,0.0,1.0,0.14,0.25,1.0,0.0
0,Kentavious Caldwell-Pope,2013,DET,0.396,15.4,0.598,0.267,0.078,0.065,0.187,0.402,0.447,0.602,0.333,0.4,0.291,0.319,0.634,0.048,17.0,0.966,0.357,0.379,3.0,0.0
1,Kentavious Caldwell-Pope,2014,DET,0.401,16.2,0.543,0.226,0.099,0.08,0.138,0.457,0.449,0.6,0.26,0.436,0.343,0.345,0.608,0.036,30.0,0.863,0.241,0.383,4.0,0.0
2,Kentavious Caldwell-Pope,2015,DET,0.42,14.8,0.616,0.228,0.116,0.107,0.166,0.384,0.489,0.639,0.333,0.476,0.396,0.309,0.481,0.027,23.0,0.842,0.266,0.378,5.0,0.0
3,Kentavious Caldwell-Pope,2016,DET,0.399,17.8,0.529,0.152,0.079,0.113,0.185,0.471,0.442,0.61,0.274,0.381,0.413,0.35,0.525,0.02,19.0,0.784,0.172,0.467,7.0,0.0
4,Kentavious Caldwell-Pope,2017,LAL,0.426,17.2,0.48,0.197,0.065,0.061,0.157,0.52,0.473,0.662,0.327,0.327,0.352,0.383,0.613,0.026,20.0,0.874,0.154,0.406,1.0,0.0
5,Kentavious Caldwell-Pope,2018,LAL,0.43,18.3,0.425,0.18,0.06,0.071,0.114,0.575,0.542,0.676,0.4,0.407,0.488,0.347,0.707,0.029,17.0,0.94,0.257,0.42,1.0,0.0
0,Marcus Camby,2000,NYK,0.524,4.5,0.986,0.607,0.191,0.143,0.045,0.014,0.53,0.634,0.369,0.349,0.385,0.125,0.67,0.141,70.0,0.0,0.125,1.0,2.0,0.0
1,Marcus Camby,2001,NYK,0.448,4.9,0.997,0.572,0.159,0.203,0.062,0.003,0.45,0.542,0.391,0.237,0.444,0.0,0.692,0.138,39.0,,0.0,,0.0,0.0
2,Marcus Camby,2002,DEN,0.41,8.7,0.978,0.388,0.181,0.132,0.278,0.022,0.41,0.557,0.317,0.433,0.254,0.4,0.681,0.106,21.0,0.5,0.0,,1.0,0.0
3,Marcus Camby,2003,DEN,0.477,8.0,0.996,0.446,0.122,0.151,0.277,0.004,0.479,0.624,0.328,0.386,0.362,0.0,0.702,0.169,83.0,,0.0,,0.0,0.0
4,Marcus Camby,2004,DEN,0.465,9.9,0.993,0.393,0.077,0.142,0.382,0.007,0.468,0.623,0.239,0.365,0.393,0.0,0.72,0.112,59.0,,0.25,0.0,0.0,0.0
5,Marcus Camby,2005,DEN,0.465,10.9,0.983,0.362,0.072,0.091,0.458,0.017,0.472,0.647,0.34,0.322,0.384,0.091,0.721,0.108,68.0,1.0,0.0,,0.0,0.0
6,Marcus Camby,2006,DEN,0.473,9.0,0.997,0.407,0.135,0.114,0.341,0.003,0.475,0.616,0.416,0.427,0.347,0.0,0.689,0.103,62.0,,1.0,0.0,0.0,0.0
7,Marcus Camby,2007,DEN,0.45,9.3,0.969,0.425,0.096,0.118,0.329,0.031,0.455,0.559,0.426,0.387,0.354,0.3,0.743,0.115,66.0,1.0,0.6,0.333,0.0,0.0
8,Marcus Camby,2008,LAC,0.512,7.7,0.992,0.5,0.097,0.121,0.274,0.008,0.514,0.677,0.354,0.3,0.368,0.25,0.676,0.075,34.0,1.0,0.0,,1.0,0.0
9,Marcus Camby,2009,TOT,0.475,7.5,0.986,0.511,0.1,0.122,0.253,0.014,0.478,0.578,0.44,0.443,0.307,0.286,0.657,0.046,22.0,1.0,0.571,0.5,0.0,0.0
10,Marcus Camby,2009,LAC,0.466,7.5,0.983,0.511,0.101,0.121,0.25,0.017,0.469,0.593,0.417,0.442,0.247,0.333,0.659,0.042,15.0,1.0,0.667,0.5,0.0,0.0
11,Marcus Camby,2009,POR,0.497,7.5,0.993,0.51,0.097,0.124,0.262,0.007,0.5,0.541,0.5,0.444,0.447,0.0,0.653,0.055,7.0,,0.0,,0.0,0.0
12,Marcus Camby,2010,POR,0.398,7.4,0.997,0.466,0.197,0.126,0.207,0.003,0.399,0.518,0.31,0.216,0.328,0.0,0.624,0.031,8.0,,0.0,,0.0,0.0
13,Marcus Camby,2011,TOT,0.446,7.9,0.983,0.481,0.16,0.108,0.233,0.017,0.447,0.5,0.37,0.387,0.418,0.4,0.611,0.028,7.0,1.0,0.2,0.0,1.0,0.0
14,Marcus Camby,2011,POR,0.416,6.3,1.0,0.578,0.124,0.112,0.186,0.0,0.416,0.484,0.15,0.333,0.433,,0.612,0.031,5.0,,,,0.0,0.0
15,Marcus Camby,2011,HOU,0.484,9.9,0.96,0.357,0.206,0.103,0.294,0.04,0.488,0.533,0.538,0.462,0.405,0.4,0.61,0.024,2.0,1.0,0.2,0.0,1.0,0.0
16,Marcus Camby,2012,NYK,0.321,6.3,1.0,0.491,0.245,0.113,0.151,0.0,0.321,0.462,0.077,0.333,0.25,,0.706,0.057,2.0,,,,0.0,0.0
0,Elden Campbell,2000,CHH,0.44,8.0,0.993,0.282,0.324,0.283,0.104,0.007,0.443,0.587,0.407,0.36,0.391,0.0,0.728,0.078,54.0,,0.0,,1.0,0.0
1,Elden Campbell,2001,CHH,0.484,7.8,0.997,0.314,0.282,0.27,0.132,0.003,0.485,0.614,0.487,0.35,0.448,0.0,0.604,0.076,54.0,,0.5,0.0,0.0,0.0
2,Elden Campbell,2002,TOT,0.397,8.8,0.997,0.227,0.325,0.281,0.163,0.003,0.398,0.522,0.344,0.337,0.438,0.0,0.684,0.041,9.0,,1.0,0.0,0.0,0.0
3,Elden Campbell,2002,NOH,0.409,9.0,0.996,0.231,0.308,0.283,0.174,0.004,0.411,0.491,0.408,0.343,0.419,0.0,0.663,0.04,7.0,,1.0,0.0,0.0,0.0
4,Elden Campbell,2002,SEA,0.333,7.8,1.0,0.208,0.417,0.271,0.104,0.0,0.333,0.7,0.1,0.308,0.6,,0.813,0.042,2.0,,,,0.0,0.0
5,Elden Campbell,2003,DET,0.439,8.4,1.0,0.309,0.21,0.331,0.15,0.0,0.439,0.485,0.409,0.452,0.362,,0.79,0.083,24.0,,,,0.0,0.0
6,Elden Campbell,2004,TOT,0.317,8.6,0.984,0.341,0.195,0.35,0.098,0.016,0.322,0.405,0.292,0.279,0.25,0.0,0.718,0.081,7.0,,0.0,,1.0,0.0
7,Elden Campbell,2004,NJN,0.0,6.0,1.0,0.429,0.286,0.286,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0
8,Elden Campbell,2004,DET,0.336,8.8,0.983,0.336,0.19,0.353,0.103,0.017,0.342,0.436,0.318,0.293,0.25,0.0,0.718,0.086,7.0,,0.0,,1.0,0.0
0,Isaiah Canaan,2013,HOU,0.356,18.7,0.368,0.23,0.046,0.011,0.069,0.632,0.406,0.5,0.25,0.0,0.333,0.327,0.308,0.0,0.0,0.778,0.309,0.353,0.0,0.0
1,Isaiah Canaan,2014,TOT,0.386,19.0,0.349,0.172,0.079,0.026,0.071,0.651,0.417,0.462,0.4,0.3,0.37,0.37,0.218,0.0,0.0,0.516,0.154,0.368,1.0,0.0
2,Isaiah Canaan,2014,HOU,0.405,18.3,0.359,0.214,0.061,0.023,0.061,0.641,0.447,0.536,0.125,0.333,0.5,0.381,0.286,0.0,0.0,0.563,0.238,0.3,1.0,0.0
3,Isaiah Canaan,2014,PHI,0.377,19.4,0.344,0.15,0.089,0.028,0.077,0.656,0.4,0.405,0.5,0.286,0.316,0.364,0.176,0.0,0.0,0.492,0.111,0.444,0.0,0.0
4,Isaiah Canaan,2015,PHI,0.36,19.0,0.328,0.13,0.096,0.047,0.057,0.672,0.354,0.489,0.261,0.294,0.244,0.363,0.417,0.0,0.0,0.744,0.198,0.406,0.0,0.0
5,Isaiah Canaan,2016,CHI,0.364,17.5,0.457,0.15,0.127,0.064,0.116,0.543,0.481,0.538,0.636,0.273,0.35,0.266,0.368,0.012,2.0,0.92,0.298,0.25,0.0,0.0
6,Isaiah Canaan,2017,TOT,0.38,14.4,0.518,0.314,0.146,0.036,0.022,0.482,0.423,0.349,0.65,0.2,0.333,0.333,0.2,0.0,0.0,0.591,0.167,0.455,1.0,0.0
7,Isaiah Canaan,2017,HOU,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,,,,0.0,0.0
8,Isaiah Canaan,2017,PHO,0.382,14.5,0.515,0.316,0.14,0.037,0.022,0.485,0.429,0.349,0.684,0.2,0.333,0.333,0.2,0.0,0.0,0.591,0.167,0.455,1.0,0.0
9,Isaiah Canaan,2018,TOT,0.39,17.4,0.415,0.244,0.067,0.049,0.055,0.585,0.441,0.45,0.273,0.5,0.556,0.354,0.3,0.0,0.0,0.735,0.26,0.4,0.0,0.0
10,Isaiah Canaan,2018,PHO,0.395,16.9,0.442,0.256,0.07,0.054,0.062,0.558,0.456,0.424,0.333,0.571,0.625,0.347,0.346,0.0,0.0,0.8,0.264,0.421,0.0,0.0
11,Isaiah Canaan,2018,MIN,0.379,18.9,0.345,0.241,0.034,0.034,0.034,0.655,0.4,0.571,0.0,0.0,0.0,0.368,0.0,0.0,0.0,0.571,0.263,0.4,0.0,0.0
12,Isaiah Canaan,2018,MIL,0.333,22.2,0.167,0.0,0.167,0.0,0.0,0.833,0.0,,0.0,,,0.4,,0.0,0.0,0.5,0.2,0.0,0.0,0.0
0,Clint Capela,2014,HOU,0.483,2.0,1.0,0.724,0.276,0.0,0.0,0.0,0.483,0.667,0.0,,,,0.929,0.379,10.0,,,,0.0,0.0
1,Clint Capela,2015,HOU,0.582,1.7,0.997,0.786,0.209,0.0,0.003,0.003,0.583,0.66,0.301,,0.0,0.0,0.667,0.277,98.0,,0.0,,1.0,0.0
2,Clint Capela,2016,HOU,0.643,2.0,1.0,0.787,0.202,0.005,0.004,0.0,0.643,0.725,0.342,0.333,0.5,,0.826,0.318,163.0,,,,0.0,0.0
3,Clint Capela,2017,HOU,0.652,1.7,0.999,0.802,0.18,0.016,0.0,0.001,0.653,0.718,0.385,0.455,,0.0,0.819,0.351,213.0,,0.0,,0.0,0.0
4,Clint Capela,2018,HOU,0.648,2.4,1.0,0.75,0.24,0.01,0.0,0.0,0.648,0.747,0.364,0.0,,,0.812,0.351,240.0,,,,0.0,0.0
0,Derrick Caracter,2010,LAL,0.485,5.6,1.0,0.439,0.364,0.167,0.03,0.0,0.485,0.621,0.25,0.636,0.5,,0.531,0.045,3.0,,,,0.0,0.0
0,Brian Cardinal,2000,DET,0.323,10.7,0.839,0.419,0.065,0.065,0.29,0.161,0.385,0.462,0.5,0.5,0.222,0.0,0.9,0.032,1.0,,0.6,0.0,0.0,0.0
1,Brian Cardinal,2001,DET,0.462,21.1,0.462,0.0,0.0,0.077,0.385,0.538,0.5,,,0.0,0.6,0.429,0.667,0.0,0.0,1.0,0.571,0.75,0.0,0.0
2,Brian Cardinal,2002,WAS,0.25,13.3,0.75,0.25,0.0,0.5,0.0,0.25,0.333,1.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
3,Brian Cardinal,2003,GSW,0.472,13.7,0.734,0.223,0.165,0.105,0.24,0.266,0.482,0.663,0.273,0.449,0.473,0.444,0.727,0.013,5.0,0.964,0.5,0.468,4.0,1.0
4,Brian Cardinal,2004,MEM,0.37,14.6,0.711,0.231,0.102,0.111,0.266,0.289,0.378,0.43,0.386,0.375,0.33,0.352,0.578,0.005,2.0,0.955,0.272,0.353,2.0,0.0
5,Brian Cardinal,2005,MEM,0.414,14.9,0.739,0.216,0.072,0.153,0.297,0.261,0.402,0.583,0.25,0.353,0.333,0.448,0.788,0.0,0.0,1.0,0.31,0.778,1.0,0.0
6,Brian Cardinal,2006,MEM,0.494,17.8,0.482,0.2,0.035,0.035,0.212,0.518,0.585,0.588,0.333,0.333,0.667,0.409,0.75,0.0,0.0,0.944,0.136,0.333,0.0,0.0
7,Brian Cardinal,2007,MEM,0.341,19.0,0.357,0.167,0.048,0.024,0.119,0.643,0.4,0.524,0.5,0.0,0.267,0.309,0.722,0.0,0.0,1.0,0.346,0.286,0.0,0.0
8,Brian Cardinal,2008,MIN,0.385,18.7,0.456,0.136,0.059,0.071,0.189,0.544,0.455,0.565,0.2,0.333,0.5,0.326,0.743,0.0,0.0,1.0,0.25,0.348,0.0,0.0
9,Brian Cardinal,2009,MIN,0.389,16.3,0.75,0.111,0.111,0.167,0.361,0.25,0.407,0.5,0.5,0.667,0.231,0.333,0.727,0.0,0.0,1.0,0.444,0.5,0.0,0.0
10,Brian Cardinal,2010,DAL,0.43,22.3,0.13,0.05,0.0,0.02,0.06,0.87,0.077,0.2,,0.0,0.0,0.483,1.0,0.0,0.0,1.0,0.609,0.491,0.0,0.0
11,Brian Cardinal,2011,DAL,0.255,22.6,0.109,0.055,0.0,0.0,0.055,0.891,0.667,1.0,,,0.333,0.204,1.0,0.0,0.0,1.0,0.571,0.286,0.0,0.0
0,Geno Carlisle,2004,POR,0.667,6.3,1.0,0.667,0.0,0.0,0.333,0.0,0.667,1.0,,,0.0,,0.5,0.0,0.0,,,,0.0,0.0
0,Rodney Carney,2006,PHI,0.464,12.1,0.816,0.311,0.135,0.117,0.253,0.184,0.491,0.648,0.415,0.37,0.394,0.347,0.65,0.107,38.0,0.92,0.361,0.538,3.0,0.0
1,Rodney Carney,2007,PHI,0.403,14.5,0.694,0.258,0.079,0.128,0.23,0.306,0.441,0.614,0.355,0.4,0.3,0.317,0.592,0.059,21.0,0.947,0.275,0.424,0.0,0.0
2,Rodney Carney,2008,MIN,0.416,16.1,0.466,0.262,0.035,0.054,0.113,0.534,0.492,0.667,0.2,0.174,0.333,0.35,0.639,0.102,39.0,0.987,0.54,0.402,0.0,0.0
3,Rodney Carney,2009,PHI,0.401,15.6,0.521,0.284,0.082,0.035,0.121,0.479,0.49,0.563,0.348,0.6,0.382,0.304,0.667,0.043,11.0,0.976,0.274,0.405,1.0,0.0
4,Rodney Carney,2010,TOT,0.418,15.4,0.655,0.182,0.164,0.055,0.255,0.345,0.403,0.55,0.278,0.333,0.393,0.447,0.621,0.055,5.0,1.0,0.526,0.5,0.0,0.0
5,Rodney Carney,2010,GSW,0.421,15.4,0.654,0.187,0.159,0.056,0.252,0.346,0.4,0.55,0.235,0.333,0.407,0.459,0.643,0.056,5.0,1.0,0.514,0.526,0.0,0.0
6,Rodney Carney,2010,MEM,0.333,15.0,0.667,0.0,0.333,0.0,0.333,0.333,0.5,,1.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0
0,Chris Carr,2000,BOS,0.473,15.5,0.67,0.152,0.143,0.143,0.232,0.33,0.48,0.706,0.313,0.438,0.462,0.459,0.667,0.027,3.0,1.0,0.459,0.529,0.0,0.0
0,DeMarre Carroll,2009,MEM,0.396,11.9,0.973,0.324,0.095,0.09,0.464,0.027,0.407,0.528,0.286,0.2,0.388,0.0,0.659,0.018,4.0,,0.167,0.0,0.0,0.0
1,DeMarre Carroll,2010,TOT,0.333,8.3,1.0,0.333,0.25,0.083,0.333,0.0,0.333,0.5,0.333,1.0,0.0,,0.75,0.0,0.0,,,,0.0,0.0
2,DeMarre Carroll,2010,MEM,0.444,8.3,1.0,0.333,0.222,0.111,0.333,0.0,0.444,0.667,0.5,1.0,0.0,,0.75,0.0,0.0,,,,0.0,0.0
3,DeMarre Carroll,2010,HOU,0.0,7.7,1.0,0.333,0.333,0.0,0.333,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0
4,DeMarre Carroll,2011,TOT,0.41,13.3,0.819,0.238,0.19,0.048,0.343,0.181,0.419,0.6,0.35,0.2,0.361,0.368,0.583,0.029,3.0,1.0,0.474,0.111,0.0,0.0
5,DeMarre Carroll,2011,DEN,1.0,8.3,1.0,0.333,0.333,0.167,0.167,0.0,1.0,1.0,1.0,1.0,1.0,,0.333,0.167,1.0,,,,0.0,0.0
6,DeMarre Carroll,2011,UTA,0.374,13.6,0.808,0.232,0.182,0.04,0.354,0.192,0.375,0.565,0.278,0.0,0.343,0.368,0.633,0.02,2.0,1.0,0.474,0.111,0.0,0.0
7,DeMarre Carroll,2012,UTA,0.46,13.9,0.784,0.265,0.148,0.062,0.309,0.216,0.508,0.791,0.25,0.4,0.41,0.286,0.674,0.04,13.0,0.95,0.3,0.429,3.0,0.0
8,DeMarre Carroll,2013,ATL,0.47,13.8,0.583,0.312,0.148,0.031,0.092,0.417,0.548,0.695,0.368,0.4,0.39,0.362,0.707,0.037,23.0,0.938,0.388,0.346,0.0,0.0
9,DeMarre Carroll,2014,ATL,0.487,14.3,0.534,0.308,0.121,0.043,0.063,0.466,0.567,0.657,0.468,0.357,0.463,0.395,0.727,0.018,12.0,0.992,0.438,0.444,0.0,0.0
10,DeMarre Carroll,2015,TOR,0.389,14.3,0.563,0.219,0.207,0.063,0.074,0.437,0.388,0.576,0.286,0.235,0.25,0.39,0.542,0.019,5.0,0.957,0.22,0.385,0.0,0.0
11,DeMarre Carroll,2016,TOR,0.401,17.6,0.417,0.169,0.133,0.044,0.073,0.583,0.485,0.634,0.37,0.375,0.4,0.341,0.586,0.011,6.0,0.954,0.322,0.388,1.0,0.0
12,DeMarre Carroll,2017,BRK,0.414,15.1,0.502,0.21,0.175,0.066,0.051,0.498,0.457,0.606,0.365,0.346,0.3,0.371,0.461,0.015,10.0,0.931,0.251,0.408,0.0,0.0
13,DeMarre Carroll,2018,BRK,0.395,16.3,0.461,0.203,0.141,0.071,0.045,0.539,0.457,0.615,0.346,0.293,0.346,0.342,0.62,0.005,3.0,0.962,0.303,0.362,0.0,0.0
0,Matt Carroll,2003,TOT,0.438,14.3,0.813,0.188,0.125,0.125,0.375,0.188,0.462,0.667,0.5,0.0,0.5,0.333,0.833,0.0,0.0,1.0,1.0,0.333,0.0,0.0
1,Matt Carroll,2003,POR,0.455,16.5,0.727,0.091,0.091,0.091,0.455,0.273,0.5,1.0,1.0,0.0,0.4,0.333,1.0,0.0,0.0,1.0,1.0,0.333,0.0,0.0
2,Matt Carroll,2003,SAS,0.4,9.4,1.0,0.4,0.2,0.2,0.2,0.0,0.4,0.5,0.0,0.0,1.0,,0.5,0.0,0.0,,,,0.0,0.0
3,Matt Carroll,2004,CHA,0.389,15.4,0.783,0.161,0.094,0.133,0.394,0.217,0.404,0.552,0.353,0.208,0.423,0.333,0.754,0.011,2.0,1.0,0.487,0.368,0.0,0.0
4,Matt Carroll,2005,CHA,0.403,16.9,0.611,0.166,0.065,0.086,0.294,0.389,0.412,0.456,0.387,0.415,0.393,0.389,0.6,0.002,1.0,0.972,0.486,0.378,0.0,0.0
5,Matt Carroll,2006,CHA,0.433,16.9,0.594,0.16,0.064,0.082,0.289,0.406,0.445,0.476,0.524,0.352,0.437,0.416,0.695,0.002,0.0,0.973,0.509,0.419,0.0,0.0
6,Matt Carroll,2007,CHA,0.428,17.9,0.591,0.141,0.046,0.083,0.321,0.409,0.422,0.47,0.37,0.347,0.429,0.436,0.714,0.003,1.0,0.981,0.423,0.48,0.0,0.0
7,Matt Carroll,2008,TOT,0.38,17.6,0.69,0.129,0.058,0.088,0.415,0.31,0.441,0.455,0.5,0.267,0.465,0.245,0.769,0.0,0.0,1.0,0.491,0.385,0.0,0.0
8,Matt Carroll,2008,CHA,0.406,17.4,0.674,0.152,0.043,0.072,0.406,0.326,0.473,0.429,0.5,0.4,0.5,0.267,0.727,0.0,0.0,1.0,0.511,0.391,0.0,0.0
9,Matt Carroll,2008,DAL,0.273,18.3,0.758,0.03,0.121,0.152,0.455,0.242,0.32,1.0,0.5,0.0,0.333,0.125,1.0,0.0,0.0,1.0,0.375,0.333,0.0,0.0
