,Team,Payroll,year,salary_cap,portion,Tm
488,Washington,104016580.0,2016,94143000,1.1,WAS
489,Charlotte,103054004.0,2016,94143000,1.09,CHH
490,New York,102593418.0,2016,94143000,1.09,NYK
491,Dallas,102354966.0,2016,94143000,1.09,DAL
492,New Orleans,101616451.0,2016,94143000,1.08,NOH
493,Golden State,101584835.0,2016,94143000,1.08,GSW
494,Miami,100740770.0,2016,94143000,1.07,MIA
495,Atlanta,96315163.0,2016,94143000,1.02,ATL
496,Milwaukee,96245877.0,2016,94143000,1.02,MIL
497,Sacramento,95596327.0,2016,94143000,1.02,SAC
498,LA Lakers,94781848.0,2016,94143000,1.01,LAL
499,Boston,93465326.0,2016,94143000,0.99,BOS
500,Chicago,92522306.0,2016,94143000,0.98,CHI
501,Oklahoma City,91230089.0,2016,94143000,0.97,OKC
502,Houston,90956067.0,2016,94143000,0.97,HOU
503,Indiana,90279072.0,2016,94143000,0.96,IND
504,Phoenix,89754590.0,2016,94143000,0.95,PHO
505,Philadelphia,84775343.0,2016,94143000,0.9,PHI
506,Denver,83836460.0,2016,94143000,0.89,DEN
507,Minnesota,83527580.0,2016,94143000,0.89,MIN
508,Brooklyn,82391482.0,2016,94143000,0.88,BRK
509,Utah,80138192.0,2016,94143000,0.85,UTA
510,Cleveland,137722926.0,2017,99093000,1.39,CLE
511,Golden State,137610134.0,2017,99093000,1.39,GSW
512,Oklahoma City,134534640.0,2017,99093000,1.36,OKC
513,Miami,133624374.0,2017,99093000,1.35,MIA
514,Washington,123306396.0,2017,99093000,1.24,WAS
515,New Orleans,120814452.0,2017,99093000,1.22,NOH
516,Milwaukee,120521249.0,2017,99093000,1.22,MIL
517,Houston,119905532.0,2017,99093000,1.21,HOU
518,Detroit,119773191.0,2017,99093000,1.21,DET
519,LA Clippers,119093010.0,2017,99093000,1.2,LAC
520,Portland,118708146.0,2017,99093000,1.2,POR
521,Charlotte,117382664.0,2017,99093000,1.18,CHH
522,Toronto,116929373.0,2017,99093000,1.18,TOR
523,Minnesota,116075131.0,2017,99093000,1.17,MIN
524,Boston,115284776.0,2017,99093000,1.16,BOS
525,San Antonio,114633844.0,2017,99093000,1.16,SAS
526,Memphis,110700149.0,2017,99093000,1.12,MEM
527,Denver,107543599.0,2017,99093000,1.09,DEN
528,Utah,105606838.0,2017,99093000,1.07,UTA
529,New York,105403130.0,2017,99093000,1.06,NYK
530,LA Lakers,103126557.0,2017,99093000,1.04,LAL
531,Philadelphia,100797386.0,2017,99093000,1.02,PHI
532,Atlanta,99992696.0,2017,99093000,1.01,ATL
533,Sacramento,99587185.0,2017,99093000,1.0,SAC
534,Orlando,99366925.0,2017,99093000,1.0,ORL
535,Brooklyn,95475397.0,2017,99093000,0.96,BRK
536,Indiana,95271736.0,2017,99093000,0.96,IND
537,Phoenix,92684083.0,2017,99093000,0.94,PHO
538,Chicago,90466801.0,2017,99093000,0.91,CHI
539,Dallas,85440245.0,2017,99093000,0.86,DAL
540,Miami,153171497.0,2018,101869000,1.5,MIA
541,Golden State,146291276.0,2018,101869000,1.44,GSW
542,Oklahoma City,144916427.0,2018,101869000,1.42,OKC
543,Toronto,137793831.0,2018,101869000,1.35,TOR
544,Milwaukee,130988604.0,2018,101869000,1.29,MIL
545,Portland,130256600.0,2018,101869000,1.28,POR
546,Detroit,126557932.0,2018,101869000,1.24,DET
547,Houston,126474100.0,2018,101869000,1.24,HOU
548,Memphis,126107461.0,2018,101869000,1.24,MEM
549,Boston,125334993.0,2018,101869000,1.23,BOS
550,Washington,123747588.0,2018,101869000,1.21,WAS
551,New York,123387454.0,2018,101869000,1.21,NYK
552,Cleveland,123255073.0,2018,101869000,1.21,CLE
553,Minnesota,121962221.0,2018,101869000,1.2,MIN
554,San Antonio,121588790.0,2018,101869000,1.19,SAS
555,Charlotte,121427859.0,2018,101869000,1.19,CHH
556,Brooklyn,118850600.0,2018,101869000,1.17,BRK
557,Denver,118327016.0,2018,101869000,1.16,DEN
558,LA Clippers,118026816.0,2018,101869000,1.16,LAC
559,New Orleans,116052756.0,2018,101869000,1.14,NOH
560,Philadelphia,115127167.0,2018,101869000,1.13,PHI
561,Orlando,114394213.0,2018,101869000,1.12,ORL
562,Utah,113826156.0,2018,101869000,1.12,UTA
563,Chicago,112598201.0,2018,101869000,1.11,CHI
564,Indiana,110724804.0,2018,101869000,1.09,IND
565,Phoenix,108692835.0,2018,101869000,1.07,PHO
566,LA Lakers,107225482.0,2018,101869000,1.05,LAL
567,Sacramento,101466920.0,2018,101869000,1.0,SAC
568,Dallas,86958881.0,2018,101869000,0.85,DAL
569,Atlanta,79180081.0,2018,101869000,0.78,ATL
