Full Name,Pos,cluster
Timofey Mozgov,C,Defensive Center
Emmanuel Mudiay,PG,Combo Guard
Dejounte Murray,PG,Scoring Wing
Jamal Murray,SG,Scoring Wing
Jameer Nelson,PG,Floor General
Raul Neto,PG,Combo Guard
Dirk Nowitzki,PF,Versatile Forward
Jahlil Okafor,C,Offensive Center
Victor Oladipo,PG,Scoring Wing
Jabari Parker,PF,3-and-D Wing
Tony Parker,PG,Combo Guard
Chandler Parsons,SF,Shooting Wing
Chris Paul,PG,Floor General
Elfrid Payton,PG,Floor General
Otto Porter,SF,3-and-D Wing
Norman Powell,SG,Scoring Wing
Julius Randle,PF,Offensive Center
Zach Randolph,PF,Defensive Center
J.J. Redick,PG,Shooting Wing
Josh Richardson,SG,Scoring Wing
Austin Rivers,SG,Scoring Wing
Rajon Rondo,PG,Floor General
Derrick Rose,PG,Combo Guard
Terrence Ross,SG,Shooting Wing
Ricky Rubio,PG,Floor General
D'Angelo Russell,PG,Combo Guard
Domantas Sabonis,PF,Offensive Center
Thabo Sefolosha,SG,3-and-D Wing
Iman Shumpert,PG,Shooting Wing
Pascal Siakam,PF,Versatile Forward
Jonathon Simmons,SG,Shooting Wing
Marcus Smart,PG,Scoring Wing
J.R. Smith,SG,Scoring Wing
Tony Snell,SG,Shooting Wing
Jayson Tatum,SF,3-and-D Wing
Jeff Teague,PG,Floor General
Jason Terry,SG,Scoring Wing
Isaiah Thomas,PG,Combo Guard
Lance Thomas,PF,3-and-D Wing
Klay Thompson,SG,Shooting Wing
Sindarius Thornwell,SG,3-and-D Wing
Anthony Tolliver,PF,Versatile Forward
Karl-Anthony Towns,C,Defensive Center
P.J. Tucker,SG,3-and-D Wing
Evan Turner,SG,Scoring Wing
Myles Turner,C,Defensive Center
Tyler Ulis,PG,Floor General
Denzel Valentine,SG,Shooting Wing
Noah Vonleh,PF,Defensive Center
Dwyane Wade,PG,Scoring Wing
Dion Waiters,SG,Scoring Wing
